文件名	阶数6上表面	阶数6下表面	阶数6总误差	阶数8上表面	阶数8下表面	阶数8总误差	阶数10上表面	阶数10下表面	阶数10总误差	三阶总和
2032c.csv	0.008037	0.006376	0.014413	0.003348	0.002114	0.005462	0.002088	0.001123	0.003211	0.023086
a63a108c.csv	0.047639	0.035603	0.083242	0.036848	0.026672	0.063520	0.029415	0.018908	0.048323	0.195085
ag03.csv	0.017006	0.004444	0.021450	0.012277	0.001989	0.014266	0.008735	0.000978	0.009713	0.045430
ag11.csv	0.021325	0.021666	0.042990	0.018813	0.016639	0.035452	0.015326	0.013745	0.029071	0.107514
ag13.csv	0.016959	0.002922	0.019881	0.010867	0.001895	0.012763	0.007666	0.001883	0.009549	0.042193
ag14.csv	0.016684	0.005103	0.021787	0.011032	0.003953	0.014985	0.007687	0.002998	0.010686	0.047457
ag19.csv	0.016947	0.005109	0.022056	0.012417	0.003396	0.015813	0.008784	0.002594	0.011378	0.049246
ag35.csv	0.427156	0.428507	0.855663	0.386520	0.371659	0.758179	0.333204	0.333028	0.666232	2.280073
ag36.csv	0.391154	0.393054	0.784208	0.352563	0.342101	0.694663	0.303119	0.306860	0.609978	2.088849
ag47c03.csv	0.028663	0.005829	0.034492	0.023299	0.003615	0.026913	0.019297	0.003224	0.022521	0.083926
ag47ct02r.csv	0.017970	0.008277	0.026247	0.014992	0.005353	0.020345	0.011621	0.004319	0.015940	0.062532
ag53.csv	0.021876	0.005107	0.026983	0.013429	0.002847	0.016276	0.009462	0.001699	0.011162	0.054420
ah21-9.csv	0.000935	0.002609	0.003544	0.000487	0.001116	0.001603	0.000260	0.000579	0.000839	0.005985
ah6407.csv	0.001910	0.004549	0.006459	0.001987	0.002438	0.004425	0.001417	0.001339	0.002756	0.013639
ah79100b.csv	0.012049	0.014173	0.026223	0.006175	0.006745	0.012920	0.004100	0.002669	0.006769	0.045911
ah81131.csv	0.017503	0.004380	0.021884	0.011709	0.004387	0.016096	0.009617	0.004102	0.013720	0.051699
ah81k144.csv	0.019821	0.015664	0.035485	0.009385	0.006850	0.016235	0.010442	0.004963	0.015405	0.067125
ah81k144wfKlappe.csv	0.038438	0.068087	0.106525	0.036668	0.040837	0.077505	0.028307	0.041262	0.069570	0.253600
ah88k136.csv	0.077167	0.057629	0.134796	0.043934	0.055746	0.099679	0.031130	0.052233	0.083363	0.317838
ah93w174.csv	0.022731	0.001838	0.024569	0.006916	0.001010	0.007926	0.004911	0.001006	0.005917	0.038412
ah93w300.csv	0.016152	0.029654	0.045806	0.009642	0.014681	0.024322	0.007436	0.006495	0.013931	0.084059
ah95160.csv	0.020082	0.022327	0.042409	0.015954	0.011033	0.026986	0.009342	0.009604	0.018947	0.088342
amsoil1.csv	0.007056	0.012708	0.019764	0.003484	0.006349	0.009833	0.002096	0.003521	0.005617	0.035213
amsoil2.csv	0.008142	0.010344	0.018486	0.004008	0.004953	0.008961	0.002422	0.002702	0.005124	0.032571
arad10.csv	0.004220	0.001894	0.006114	0.001004	0.001860	0.002864	0.000772	0.000947	0.001719	0.010698
arad6.csv	0.004790	0.002574	0.007364	0.001515	0.002213	0.003729	0.001042	0.001185	0.002227	0.013320
as5045.csv	0.014625	0.020525	0.035150	0.010739	0.009331	0.020070	0.006856	0.007763	0.014618	0.069838
atr72sm.csv	0.012607	0.007568	0.020175	0.010926	0.005256	0.016182	0.006843	0.002289	0.009133	0.045489
august160.csv	0.028325	0.010189	0.038514	0.019990	0.008098	0.028088	0.020425	0.006580	0.027004	0.093606
b29tip.csv	0.005351	0.009014	0.014365	0.002691	0.005031	0.007723	0.001407	0.003969	0.005376	0.027464
b737b.csv	0.047897	0.039594	0.087490	0.039780	0.035744	0.075523	0.035927	0.033897	0.069825	0.232838
b737d.csv	0.002666	0.010301	0.012967	0.001414	0.005516	0.006930	0.001522	0.003715	0.005237	0.025135
bacnlf.csv	0.024302	0.015352	0.039654	0.021117	0.009507	0.030624	0.016337	0.008519	0.024856	0.095135
bambino6.csv	0.078673	0.095340	0.174013	0.078365	0.082842	0.161206	0.078231	0.073865	0.152096	0.487315
be50.csv	0.041219	0.042605	0.083824	0.033646	0.033038	0.066684	0.031109	0.031108	0.062217	0.212725
bqm34.csv	0.002427	0.002427	0.004853	0.001615	0.001615	0.003230	0.001047	0.001047	0.002094	0.010177
bw3.csv	0.037579	0.049578	0.087157	0.019101	0.035978	0.055079	0.012681	0.024337	0.037018	0.179254
c141d.csv	0.005982	0.009604	0.015586	0.003520	0.004402	0.007922	0.002722	0.003404	0.006127	0.029635
c141f.csv	0.011273	0.016736	0.028009	0.008081	0.005077	0.013157	0.005957	0.003367	0.009323	0.050490
c5b.csv	0.010658	0.018561	0.029219	0.008056	0.013165	0.021221	0.006102	0.009638	0.015740	0.066181
cap21c.csv	0.005767	0.004044	0.009810	0.003282	0.003403	0.006685	0.001665	0.002857	0.004522	0.021017
cast102.csv	0.007124	0.020717	0.027841	0.003428	0.013221	0.016649	0.003226	0.010010	0.013236	0.057726
clarkk.csv	0.002699	0.010949	0.013649	0.000448	0.005609	0.006056	0.000347	0.001831	0.002178	0.021882
clarkv.csv	0.003289	0.001557	0.004847	0.001751	0.000549	0.002300	0.000947	0.000582	0.001530	0.008676
clarkyh.csv	0.099187	0.101221	0.200408	0.094338	0.089598	0.183936	0.087694	0.086951	0.174645	0.558989
coanda2.csv	0.039183	0.069488	0.108671	0.038720	0.058179	0.096899	0.037754	0.047172	0.084926	0.290496
coanda3.csv	0.044460	0.068118	0.112578	0.040057	0.056334	0.096391	0.038896	0.044883	0.083779	0.292748
curtisc72.csv	0.102842	0.103065	0.205907	0.088264	0.089838	0.178102	0.080976	0.081678	0.162654	0.546663
daytonwright6.csv	0.083480	0.089586	0.173066	0.077231	0.078911	0.156141	0.070337	0.069640	0.139977	0.469184
defcnd1.csv	0.013415	0.014464	0.027879	0.011653	0.012959	0.024612	0.009226	0.012469	0.021695	0.074186
df102.csv	0.020431	0.003347	0.023777	0.009906	0.002174	0.012080	0.006280	0.002092	0.008372	0.044229
dga1182.csv	0.029695	0.025099	0.054795	0.024386	0.019033	0.043419	0.026052	0.014532	0.040584	0.138797
dormoy.csv	0.079148	0.079398	0.158546	0.067753	0.063348	0.131101	0.059259	0.058224	0.117483	0.407130
du8608418.csv	0.038253	0.008537	0.046791	0.020400	0.009586	0.029985	0.015025	0.004171	0.019196	0.095972
e1210.csv	0.010607	0.005027	0.015634	0.007908	0.005370	0.013277	0.006302	0.005713	0.012016	0.040927
e182.csv	0.006379	0.012248	0.018626	0.004161	0.012934	0.017094	0.002801	0.013304	0.016105	0.051826
e201.csv	0.010067	0.007599	0.017665	0.005538	0.006912	0.012449	0.003661	0.006707	0.010368	0.040483
e210.csv	0.021985	0.003383	0.025368	0.015697	0.003172	0.018869	0.012942	0.001791	0.014733	0.058970
e212.csv	0.010006	0.012009	0.022015	0.005599	0.012520	0.018119	0.003737	0.013063	0.016800	0.056934
e221.csv	0.021965	0.002151	0.024116	0.019169	0.001793	0.020961	0.018092	0.001208	0.019300	0.064377
e231.csv	0.011798	0.003043	0.014841	0.006582	0.002886	0.009468	0.004782	0.001800	0.006581	0.030890
e266.csv	0.010815	0.019440	0.030255	0.010154	0.013618	0.023772	0.004109	0.014210	0.018319	0.072346
e326.csv	0.011368	0.013645	0.025013	0.008529	0.011901	0.020429	0.005287	0.011469	0.016755	0.062198
e327.csv	0.011373	0.016061	0.027434	0.008272	0.014474	0.022747	0.005062	0.013768	0.018830	0.069011
e333.csv	0.010654	0.023898	0.034552	0.007102	0.017443	0.024545	0.004240	0.015364	0.019604	0.078700
e334.csv	0.011555	0.027699	0.039254	0.007058	0.019178	0.026236	0.004147	0.016249	0.020397	0.085887
e337.csv	0.010558	0.024475	0.035033	0.007384	0.018237	0.025621	0.003779	0.016249	0.020028	0.080682
e338.csv	0.010861	0.026179	0.037039	0.006547	0.018087	0.024635	0.003971	0.015579	0.019550	0.081224
e339.csv	0.011602	0.038379	0.049980	0.006890	0.027916	0.034806	0.003815	0.024728	0.028542	0.113329
e341.csv	0.011408	0.024515	0.035922	0.008749	0.018716	0.027465	0.004521	0.016892	0.021413	0.084800
e342.csv	0.010378	0.026191	0.036569	0.007314	0.018266	0.025580	0.003288	0.015786	0.019074	0.081224
e361.csv	0.012753	0.015672	0.028425	0.008975	0.013883	0.022857	0.006409	0.012765	0.019174	0.070457
e377m.csv	0.021057	0.037478	0.058536	0.014260	0.016971	0.031231	0.011920	0.016889	0.028809	0.118576
e403.csv	0.008439	0.018538	0.026977	0.005563	0.017819	0.023381	0.003460	0.017637	0.021097	0.071455
e407.csv	0.013520	0.009783	0.023303	0.009190	0.008615	0.017805	0.006420	0.005353	0.011773	0.052881
e417.csv	0.008521	0.016555	0.025076	0.005511	0.015506	0.021018	0.003675	0.015228	0.018903	0.064997
e432.csv	0.013937	0.017385	0.031323	0.010389	0.015533	0.025922	0.007326	0.013084	0.020409	0.077654
e434.csv	0.011930	0.013194	0.025123	0.008620	0.012708	0.021327	0.006222	0.011342	0.017564	0.064015
e473.csv	0.006796	0.006796	0.013591	0.006279	0.006279	0.012558	0.003773	0.003773	0.007546	0.033695
e49.csv	0.076530	0.039693	0.116223	0.060142	0.000000	0.060142	0.045847	0.000000	0.045847	0.222212
e521.csv	0.017669	0.020311	0.037979	0.010228	0.012973	0.023201	0.008470	0.011173	0.019642	0.080823
e540.csv	0.014966	0.017503	0.032469	0.012106	0.006958	0.019064	0.007678	0.006904	0.014582	0.066115
e541.csv	0.015985	0.019719	0.035704	0.010335	0.009240	0.019575	0.008296	0.005781	0.014076	0.069355
e542.csv	0.017056	0.016948	0.034004	0.011942	0.007387	0.019329	0.008572	0.003957	0.012529	0.065863
e544.csv	0.017037	0.013160	0.030197	0.012180	0.007409	0.019588	0.008461	0.005645	0.014106	0.063891
e547.csv	0.017697	0.013963	0.031659	0.008757	0.007577	0.016334	0.007146	0.005687	0.012833	0.060826
e551.csv	0.018745	0.017545	0.036290	0.009316	0.006774	0.016090	0.007234	0.006540	0.013774	0.066155
e555.csv	0.016120	0.016439	0.032558	0.009378	0.005688	0.015066	0.005795	0.005397	0.011193	0.058817
e557.csv	0.015361	0.015687	0.031048	0.008337	0.006165	0.014501	0.004820	0.004972	0.009792	0.055342
e585.csv	0.012480	0.010040	0.022520	0.008283	0.009004	0.017286	0.005776	0.007881	0.013657	0.053464
e598.csv	0.013316	0.010014	0.023330	0.007044	0.009817	0.016861	0.006088	0.009735	0.015823	0.056014
e603.csv	0.036194	0.006217	0.042411	0.037423	0.004004	0.041427	0.033702	0.002765	0.036467	0.120305
e642.csv	0.012581	0.013895	0.026477	0.008682	0.009932	0.018614	0.005476	0.010010	0.015486	0.060577
e657.csv	0.015533	0.013168	0.028701	0.008016	0.012275	0.020290	0.007349	0.012307	0.019656	0.068647
e664.csv	0.012589	0.017748	0.030337	0.006107	0.015135	0.021243	0.005420	0.012522	0.017942	0.069521
e678.csv	0.015971	0.014548	0.030519	0.016288	0.014351	0.030639	0.009745	0.014706	0.024451	0.085609
e682.csv	0.017223	0.015493	0.032716	0.007002	0.011282	0.018284	0.006292	0.010997	0.017289	0.068289
